ltr-1_family-8	353	521	2	2	0	5	0	15
ltr-1_family-8	408	464	2	2	0	2	0	32
ltr-1_family-8	421	470	2	2	0	1	0	20
ltr-1_family-8	446	470	2	2	0	6	1	18
ltr-1_family-8	446	490	2	2	0	0	1	23
ltr-1_family-8	446	496	2	2	0	0	1	17
ltr-1_family-8	446	521	2	2	0	0	2	30
ltr-1_family-8	452	490	2	2	0	0	1	18
ltr-1_family-8	452	521	2	2	0	2	2	35
ltr-1_family-8	464	490	2	2	0	0	1	28
ltr-1_family-8	471	496	2	2	0	0	1	17
ltr-1_family-8	471	527	2	2	0	1	0	21
rnd-1_family-3	19	44	1	1	0	1	0	17
rnd-1_family-6	67	305	1	1	0	2	0	59
rnd-2_family-391	462	2832	1	1	0	30	0	24
rnd-2_family-391	469	5303	1	1	0	16	0	15
rnd-2_family-391	1007	2311	1	1	0	4	0	46
rnd-2_family-391	2648	2861	1	1	0	790	52	72
rnd-2_family-391	2717	2861	1	1	0	6	0	69
rnd-2_family-391	2727	2861	1	1	0	10	0	67
rnd-2_family-391	2956	3256	1	1	0	809	11	28
rnd-2_family-391	2956	4280	1	1	0	4	0	27
rnd-2_family-391	3317	3524	1	1	0	822	17	67
rnd-2_family-391	3873	4027	1	1	0	1407	0	74
rnd-2_family-391	4028	4280	1	1	0	4	0	70
rnd-2_family-391	4085	4280	1	1	0	702	0	68
rnd-2_family-391	4116	4242	1	1	0	3	0	23
rnd-2_family-391	4129	4280	1	1	0	40	0	73
rnd-2_family-391	4422	4577	1	1	0	1230	0	72
rnd-2_family-391	4422	5404	1	1	0	6	0	72
rnd-2_family-391	4629	4737	1	1	0	1231	0	54
rnd-2_family-391	4834	4958	1	1	0	1447	0	75
rnd-2_family-391	5043	5164	1	1	0	1601	1	74
rnd-2_family-391	5268	5404	1	1	0	1888	1	75
