ltr-1_family-8	464	490	2	2	0	2	0	23
rnd-1_family-38	192	221	1	1	0	2	0	60
rnd-1_family-38	423	462	2	2	0	3	0	20
rnd-2_family-391	462	2832	1	1	0	19	0	24
rnd-2_family-391	469	5303	1	1	0	3	0	15
rnd-2_family-391	1007	2311	1	1	0	3	0	38
rnd-2_family-391	2648	2861	1	1	0	636	49	72
rnd-2_family-391	2956	3256	1	1	0	591	14	27
rnd-2_family-391	2956	3264	1	1	0	1	0	27
rnd-2_family-391	3317	3524	1	1	0	603	21	64
rnd-2_family-391	3873	4027	1	1	0	1291	1	74
rnd-2_family-391	3899	4027	1	1	0	10	0	63
rnd-2_family-391	4085	4268	1	1	0	2	0	52
rnd-2_family-391	4085	4280	1	1	0	886	1	61
rnd-2_family-391	4422	4577	1	1	0	986	0	60
rnd-2_family-391	4629	4737	1	1	0	894	0	59
rnd-2_family-391	4834	4958	1	1	0	901	2	75
rnd-2_family-391	5043	5164	1	1	0	1013	2	74
rnd-2_family-391	5268	5404	1	1	0	1316	0	75
